CarerID,WorkerType,Latitude,Longitude,PreferredAreaLatitude,PreferredAreaLongitude,MaxTravelDistanceMiles,ExperienceInYears,Skills,Gender,Languages,VehicleType,WorkingDays,OffDays,ShiftStart,ShiftEnd,ContractHoursPerWeek,MaxDailyHours,MaxWeeklyHours,PreferredShift,Date,DayOfWeek,Status
C0001,Student,51.372966,-0.357305,51.419129,-0.332031,5,1,"Medication Support, Palliative Care",Other,"French, English",Public Transport,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",Sunday,07:00,13:00,20,5,20,Morning,01/06/2026,Monday,Available
C0001,Student,51.372966,-0.357305,51.419129,-0.332031,5,1,"Medication Support, Palliative Care",Other,"French, English",Public Transport,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",Sunday,07:00,13:00,20,5,20,Morning,03/06/2026,Wednesday,Available
C0001,Student,51.372966,-0.357305,51.419129,-0.332031,5,1,"Medication Support, Palliative Care",Other,"French, English",Public Transport,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",Sunday,07:00,13:00,20,5,20,Morning,05/06/2026,Friday,Available
C0001,Student,51.372966,-0.357305,51.419129,-0.332031,5,1,"Medication Support, Palliative Care",Other,"French, English",Public Transport,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",Sunday,07:00,13:00,20,5,20,Morning,06/06/2026,Saturday,Available
C0002,Full-Time,51.310247,-0.362365,51.351372,-0.386422,8,8,"Dementia Care, Meal Preparation",Male,"French, English",Bicycle,Flexible,Flexible,14:00,18:00,40,9,45,Morning,01/06/2026,Monday,Available
C0002,Full-Time,51.310247,-0.362365,51.351372,-0.386422,8,8,"Dementia Care, Meal Preparation",Male,"French, English",Bicycle,Flexible,Flexible,14:00,18:00,40,9,45,Morning,02/06/2026,Tuesday,Available
C0002,Full-Time,51.310247,-0.362365,51.351372,-0.386422,8,8,"Dementia Care, Meal Preparation",Male,"French, English",Bicycle,Flexible,Flexible,14:00,18:00,40,9,45,Morning,03/06/2026,Wednesday,Available
C0002,Full-Time,51.310247,-0.362365,51.351372,-0.386422,8,8,"Dementia Care, Meal Preparation",Male,"French, English",Bicycle,Flexible,Flexible,14:00,18:00,40,9,45,Morning,05/06/2026,Friday,Available
C0002,Full-Time,51.310247,-0.362365,51.351372,-0.386422,8,8,"Dementia Care, Meal Preparation",Male,"French, English",Bicycle,Flexible,Flexible,14:00,18:00,40,9,45,Morning,06/06/2026,Saturday,Available
C0003,Part-Time,51.285564,0.046468,51.273665,-1.10E-05,5,5,"Medication Support, First Aid",Other,"English, punjabi, English",Public Transport,Flexible,Flexible,07:00,16:00,25,7,29,Morning,01/06/2026,Monday,Available
C0003,Part-Time,51.285564,0.046468,51.273665,-1.10E-05,5,5,"Medication Support, First Aid",Other,"English, punjabi, English",Public Transport,Flexible,Flexible,07:00,16:00,25,7,29,Morning,02/06/2026,Tuesday,Available
C0003,Part-Time,51.285564,0.046468,51.273665,-1.10E-05,5,5,"Medication Support, First Aid",Other,"English, punjabi, English",Public Transport,Flexible,Flexible,07:00,16:00,25,7,29,Morning,04/06/2026,Thursday,Available
C0003,Part-Time,51.285564,0.046468,51.273665,-1.10E-05,5,5,"Medication Support, First Aid",Other,"English, punjabi, English",Public Transport,Flexible,Flexible,07:00,16:00,25,7,29,Morning,05/06/2026,Friday,Available
C0003,Part-Time,51.285564,0.046468,51.273665,-1.10E-05,5,5,"Medication Support, First Aid",Other,"English, punjabi, English",Public Transport,Flexible,Flexible,07:00,16:00,25,7,29,Morning,06/06/2026,Saturday,Available
C0003,Part-Time,51.285564,0.046468,51.273665,-1.10E-05,5,5,"Medication Support, First Aid",Other,"English, punjabi, English",Public Transport,Flexible,Flexible,07:00,16:00,25,7,29,Morning,07/06/2026,Sunday,Available
C0004,Full-Time,51.304277,-0.333752,51.346284,-0.352673,12,5,"Medication Support, Personal Care",Female,"French, English",Car,Weekends,"Monday, Tuesday, Wednesday, Thursday, Friday",09:00,16:00,35,12,44,Morning,06/06/2026,Saturday,Available
C0004,Full-Time,51.304277,-0.333752,51.346284,-0.352673,12,5,"Medication Support, Personal Care",Female,"French, English",Car,Weekends,"Monday, Tuesday, Wednesday, Thursday, Friday",09:00,16:00,35,12,44,Morning,07/06/2026,Sunday,Available
C0005,Student,51.567989,-0.033185,51.579583,0.015408,5,8,"Mobility Support, Companionship, Medication Support",Female,Hindi,Public Transport,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",Sunday,12:00,22:00,15,8,20,Flexible,01/06/2026,Monday,Available
C0005,Student,51.567989,-0.033185,51.579583,0.015408,5,8,"Mobility Support, Companionship, Medication Support",Female,Hindi,Public Transport,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",Sunday,12:00,22:00,15,8,20,Flexible,02/06/2026,Tuesday,Available
C0005,Student,51.567989,-0.033185,51.579583,0.015408,5,8,"Mobility Support, Companionship, Medication Support",Female,Hindi,Public Transport,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",Sunday,12:00,22:00,15,8,20,Flexible,04/06/2026,Thursday,Available
C0005,Student,51.567989,-0.033185,51.579583,0.015408,5,8,"Mobility Support, Companionship, Medication Support",Female,Hindi,Public Transport,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",Sunday,12:00,22:00,15,8,20,Flexible,05/06/2026,Friday,Available
C0005,Student,51.567989,-0.033185,51.579583,0.015408,5,8,"Mobility Support, Companionship, Medication Support",Female,Hindi,Public Transport,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",Sunday,12:00,22:00,15,8,20,Flexible,06/06/2026,Saturday,Available
C0006,Student,51.46587,0.214638,51.424389,0.208381,8,0,"Dementia Care, Meal Preparation, Companionship",Female,English,Bicycle,"Monday, Tuesday, Wednesday, Thursday, Friday","Saturday, Sunday",11:00,17:00,20,6,20,Night,01/06/2026,Monday,Available
